date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-04-24,Quebec,22616,1340,0,52.9399,-73.5491,21276
2020-04-24,Saskatchewan,341,4,0,52.9399,-106.4509,337
2020-04-24,Yukon,11,0,0,64.2823,-135.0,11
2020-04-25,Alberta,4233,73,0,53.9333,-116.5765,4160
2020-04-25,Manitoba,267,6,0,53.7609,-98.8139,261
2020-04-25,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-25,Ontario,15012,916,0,51.2538,-85.3232,14096
2020-04-25,Quebec,23267,1446,0,52.9399,-73.5491,21821
2020-04-25,Saskatchewan,349,4,0,52.9399,-106.4509,345
2020-04-25,Yukon,11,0,0,64.2823,-135.0,11
2020-04-26,Alberta,4480,73,0,53.9333,-116.5765,4407
2020-04-26,Manitoba,271,6,0,53.7609,-98.8139,265
2020-04-26,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-26,Ontario,15568,960,0,51.2538,-85.3232,14608
2020-04-26,Quebec,24109,1516,0,52.9399,-73.5491,22593
2020-04-26,Saskatchewan,353,4,0,52.9399,-106.4509,349
2020-04-26,Yukon,11,0,0,64.2823,-135.0,11
2020-04-27,Alberta,4696,75,0,53.9333,-116.5765,4621
2020-04-27,Manitoba,273,6,0,53.7609,-98.8139,267
2020-04-27,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-27,Nova Scotia,900,24,0,44.682,-63.7443,876
2020-04-27,Ontario,15970,1023,0,51.2538,-85.3232,14947
2020-04-27,Quebec,24983,1600,0,52.9399,-73.5491,23383
2020-04-27,Saskatchewan,365,5,0,52.9399,-106.4509,360
2020-04-27,Yukon,11,0,0,64.2823,-135.0,11
